,animal,correct,group,valid,trial,trial_type,training_type,detailed_trial_type
363,46.0,0.0,control,False,43.0,training,early training,early training
364,46.0,0.0,control,False,44.0,training,early training,early training
365,46.0,0.0,control,False,45.0,training,early training,early training
366,46.0,0.0,control,False,46.0,training,early training,early training
367,46.0,0.0,control,False,47.0,training,early training,early training
368,46.0,0.0,control,False,48.0,training,early training,early training
369,46.0,0.0,control,False,49.0,training,early training,early training
370,46.0,0.0,control,False,50.0,training,early training,early training
371,46.0,0.0,control,False,51.0,training,early training,early training
372,46.0,0.0,control,False,52.0,training,early training,early training
373,46.0,0.0,control,False,53.0,training,early training,early training
374,46.0,0.0,control,False,54.0,training,early training,early training
375,46.0,0.0,control,False,55.0,training,early training,early training
376,46.0,0.0,control,False,56.0,training,early training,early training
377,46.0,0.0,control,False,57.0,training,early training,early training
378,46.0,0.0,control,False,58.0,training,early training,early training
379,46.0,0.0,control,False,59.0,training,early training,early training
380,46.0,0.0,control,False,60.0,training,early training,early training
381,46.0,0.0,control,False,61.0,training,early training,early training
382,46.0,0.0,control,False,62.0,training,early training,early training
383,46.0,0.0,control,False,63.0,training,early training,early training
384,46.0,0.0,control,False,64.0,training,early training,early training
385,46.0,0.0,control,False,65.0,training,early training,early training
386,46.0,0.0,control,False,66.0,training,early training,early training
387,46.0,0.0,control,False,67.0,training,early training,early training
388,46.0,0.0,control,False,68.0,training,early training,early training
389,46.0,0.0,control,False,69.0,training,early training,early training
390,46.0,0.0,control,False,70.0,training,early training,early training
391,46.0,0.0,control,False,71.0,training,early training,early training
392,46.0,0.0,control,False,72.0,training,early training,early training
393,46.0,0.0,control,False,73.0,training,early training,early training
394,46.0,0.0,control,False,74.0,training,early training,early training
395,46.0,1.0,control,True,75.0,early test,test,early test
396,46.0,1.0,control,True,76.0,early test,test,early test
397,46.0,1.0,control,True,77.0,early test,test,early test
398,46.0,1.0,control,True,78.0,early test,test,early test
399,46.0,1.0,control,True,79.0,early test,test,early test
400,46.0,1.0,control,True,80.0,training,late training,late training
401,46.0,0.0,control,True,81.0,training,late training,late training
402,46.0,1.0,control,True,82.0,training,late training,late training
403,46.0,1.0,control,True,83.0,training,late training,late training
404,46.0,1.0,control,True,84.0,training,late training,late training
405,46.0,0.0,control,True,85.0,training,late training,late training
406,46.0,1.0,control,True,86.0,training,late training,late training
407,46.0,1.0,control,True,87.0,training,late training,late training
408,46.0,1.0,control,True,88.0,training,late training,late training
409,46.0,1.0,control,True,89.0,training,late training,late training
410,46.0,0.0,control,True,90.0,training,late training,late training
411,46.0,0.0,control,True,91.0,training,late training,late training
412,46.0,1.0,control,True,92.0,training,late training,late training
413,46.0,1.0,control,True,93.0,training,late training,late training
414,46.0,1.0,control,True,94.0,training,late training,late training
415,46.0,0.0,control,True,95.0,training,late training,late training
416,46.0,1.0,control,True,96.0,training,late training,late training
417,46.0,0.0,control,True,97.0,training,late training,late training
418,46.0,1.0,control,True,98.0,training,late training,late training
419,46.0,1.0,control,True,99.0,training,late training,late training
420,46.0,0.0,control,True,100.0,training,late training,late training
421,46.0,1.0,control,True,101.0,training,late training,late training
422,46.0,1.0,control,True,102.0,training,late training,late training
423,46.0,1.0,control,True,103.0,training,late training,late training
424,46.0,1.0,control,True,104.0,training,late training,late training
425,46.0,1.0,control,True,105.0,training,late training,late training
426,46.0,1.0,control,True,106.0,training,late training,late training
427,46.0,1.0,control,True,107.0,training,late training,late training
428,46.0,1.0,control,True,108.0,training,late training,late training
429,46.0,1.0,control,True,109.0,training,late training,late training
430,46.0,0.0,control,True,110.0,training,late training,late training
431,46.0,1.0,control,True,111.0,training,late training,late training
432,46.0,1.0,control,True,112.0,training,late training,late training
433,46.0,1.0,control,True,113.0,training,late training,late training
434,46.0,1.0,control,True,114.0,training,late training,late training
435,46.0,1.0,control,True,115.0,training,late training,late training
436,46.0,1.0,control,True,116.0,training,late training,late training
437,46.0,1.0,control,True,117.0,training,late training,late training
438,46.0,1.0,control,True,118.0,training,late training,late training
439,46.0,1.0,control,True,119.0,training,late training,late training
440,46.0,0.0,control,True,120.0,training,late training,late training
441,46.0,1.0,control,True,121.0,training,late training,late training
442,46.0,1.0,control,True,122.0,training,late training,late training
443,46.0,1.0,control,True,123.0,training,late training,late training
444,46.0,1.0,control,True,124.0,training,late training,late training
445,46.0,1.0,control,True,125.0,training,late training,late training
446,46.0,1.0,control,True,126.0,training,late training,late training
447,46.0,1.0,control,True,127.0,training,late training,late training
448,46.0,1.0,control,True,128.0,training,late training,late training
449,46.0,1.0,control,True,129.0,training,late training,late training
450,46.0,1.0,control,True,130.0,training,late training,late training
451,46.0,1.0,control,True,131.0,training,late training,late training
452,46.0,1.0,control,True,132.0,training,late training,late training
453,46.0,1.0,control,True,133.0,training,late training,late training
454,46.0,1.0,control,True,134.0,training,late training,late training
455,46.0,1.0,control,True,135.0,training,late training,late training
456,46.0,1.0,control,True,136.0,training,late training,late training
457,46.0,1.0,control,True,137.0,training,late training,late training
458,46.0,1.0,control,True,138.0,training,late training,late training
459,46.0,1.0,control,True,139.0,training,late training,late training
460,46.0,1.0,control,True,140.0,training,late training,late training
461,46.0,1.0,control,True,141.0,training,late training,late training
462,46.0,1.0,control,True,142.0,training,late training,late training
463,46.0,1.0,control,True,143.0,training,late training,late training
464,46.0,1.0,control,True,144.0,training,late training,late training
465,46.0,1.0,control,True,145.0,training,late training,late training
466,46.0,1.0,control,True,146.0,training,late training,late training
467,46.0,1.0,control,True,147.0,training,late training,late training
